player_id,player_name_x,player_display_name,position,position_group,headshot_url,season,week,season_type,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,game_id,player,offense_snaps,offense_pct,snap_share,rolling_target_share,rolling_snap_share,rolling_air_yards_share,player_name_y,ecr,points_jump,rolling_points,points_trend,target_share_trend,snap_share_trend,score_points_jump,score_points_trend,score_target_trend,score_snap_trend,score_floor,sleeper_score,is_sleeper,next_week_points
00-0022942,P.Rivers,philip rivers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",2025,15,REG,IND,SEA,18,27,120,1,1,1,-2,0,0,142,95,8,-2.533307095480697,-0.4007951571391179,0,0.8450704225352113,1,0,0,1,0,1,-1.1464567719958725,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,6.800000000000001,6.800000000000001,2025_15_IND_SEA,philip rivers,60.0,1.0,1.0,0.0,0.9775,0.0,,,10.279999999999998,13.14,-1.333333333333334,0.0,0.01750000000000007,1,0,0,1,0,2,0,17.08
00-0022942,P.Rivers,philip rivers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",2025,16,REG,IND,SF,23,35,277,2,1,2,-23,1,0,335,127,13,2.88488870732986,-1.169902767453875,0,0.826865671641791,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,17.08,17.08,2025_16_SF_IND,philip rivers,56.0,0.93,0.93,0.0,0.96,0.0,,,-9.299999999999999,15.38,2.24,0.0,-0.01750000000000007,0,1,0,0,1,2,0,7.779999999999999
00-0026300,J.Johnson,josh johnson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",2025,16,REG,WAS,PHI,5,9,43,0,1,1,-6,0,0,23,29,2,-4.519196375156753,-15.38250371813774,0,1.8695652173913044,1,0,0,1,0,1,-0.7789917936897837,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,-0.28,-0.28,2025_16_PHI_WAS,josh johnson,22.0,0.41,0.41,0.0,0.215,0.0,,,9.2,0.08666666666666667,-0.16,0.0,0.09,1,0,0,1,0,2,0,8.92
00-0026300,J.Johnson,josh johnson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",2025,17,REG,WAS,DAL,15,23,198,0,0,1,-8,0,0,167,98,10,3.8668416299230666,4.837956740742638,0,1.18562874251497,2,10,0,0,0,0,-0.1139975988771766,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,8.92,8.92,2025_17_DAL_WAS,josh johnson,43.0,0.98,0.98,0.0,0.4325000000000001,0.0,,,6.820000000000002,3.0933333333333333,3.006666666666667,0.0,0.2175000000000001,1,1,0,1,1,4,1,15.740000000000002
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,1,REG,LA,HOU,21,29,245,1,0,3,-21,0,0,226,68,13,6.090108856966253,5.381516899381365,0,1.084070796460177,4,-2,0,1,0,1,-6.176066547748633,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,13.6,13.6,2025_01_HOU_LA,matthew stafford,60.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,3.7200000000000006,16.44,1.4800000000000022,0.0,0.0,0,1,0,0,1,2,0,17.32
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,2,REG,LA,TEN,23,33,298,2,1,1,-8,0,0,262,132,12,9.779970589626965,10.765356570482254,0,1.1374045801526718,2,-6,0,0,0,0,-3.352748881239677,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,17.32,17.32,2025_02_LA_TEN,matthew stafford,61.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,-3.4800000000000004,16.793333333333333,0.3533333333333317,0.0,0.0,0,1,0,0,1,2,0,13.84
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,3,REG,LA,PHI,19,33,196,2,1,1,0,0,0,168,57,10,-2.479092506006727,-4.678381327539682,0,1.1666666666666667,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,13.84,13.84,2025_03_LA_PHI,matthew stafford,66.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,13.559999999999999,14.92,-1.873333333333333,0.0,0.0,1,0,0,0,1,2,0,27.4
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,4,REG,LA,IND,29,41,375,3,0,3,-15,0,0,342,155,15,14.293764206603946,5.447497591376305,0,1.0964912280701755,4,4,0,0,0,0,-6.023056055651978,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,27.4,27.4,2025_04_IND_LA,matthew stafford,75.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,-1.8399999999999999,19.52,4.6,0.0,0.0,0,1,0,0,1,2,0,25.56
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,5,REG,LA,SF,30,47,389,3,0,1,-11,0,0,528,120,18,15.072453184221198,-3.2675007763116257,0,0.7367424242424242,1,0,0,1,1,1,-5.882432998390868,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,25.56,25.56,2025_05_SF_LA,matthew stafford,68.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,-16.22,22.266666666666666,2.746666666666666,0.0,0.0,0,1,0,0,1,2,0,9.34
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,6,REG,LA,BAL,17,26,181,1,0,2,-14,1,1,229,63,10,0.9594451738590664,0.7012727168890146,0,0.7903930131004366,4,1,0,1,0,1,-2.1202274800743908,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,9.34,9.34,2025_06_LA_BAL,matthew stafford,53.0,1.0,1.0,0.0,1.0,0.0,matthew stafford,102.62,18.040000000000003,20.766666666666662,-1.5000000000000036,0.0,0.0,1,0,0,0,1,2,0,27.380000000000003
